split,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos,level_type
train,0.3,0.5,415,0.5397590361445783,0.4602409638554217,0.0,-0.06819277108433734,23,0.6086956521739131,-0.013043478260869558,-0.11303191489361702,-0.12424242424242427,0.04483914380927968,0.1111989459815547,prior
train,0.3,0.75,415,0.6819277108433734,0.3180722891566265,0.0,-0.033975903614457854,23,0.782608695652174,0.07173913043478258,-0.1056183510638298,-0.13352272727272727,0.07164244744937195,0.20526185770750985,prior
train,0.3,1.0,415,0.7469879518072289,0.25060240963855424,0.0024096385542168677,-0.02650602409638554,23,0.8695652173913043,0.13043478260869565,-0.08636968085106385,-0.11856060606060607,0.05986365675467831,0.2489953886693017,prior
train,0.3,1.5,415,0.8,0.19759036144578312,0.0024096385542168677,-0.05638554216867471,23,0.9565217391304348,0.2217391304347826,-0.06392952127659576,-0.15,0.007543979107921053,0.37173913043478257,prior
train,0.5,0.5,415,0.4795180722891566,0.5204819277108433,0.0,-0.020481927710843374,23,0.5652173913043478,0.06521739130434782,-0.0625,-0.08333333333333333,0.042018072289156626,0.14855072463768115,prior
train,0.5,0.75,415,0.5975903614457831,0.4,0.0024096385542168677,-0.0012048192771084338,23,0.782608695652174,0.22826086956521738,-0.06017287234042553,-0.08901515151515152,0.058968053063317094,0.3172760210803689,prior
train,0.5,1.0,415,0.6698795180722892,0.3253012048192771,0.004819277108433735,0.00963855421686747,23,0.8260869565217391,0.2391304347826087,-0.052526595744680854,-0.08712121212121213,0.06216514996154832,0.3262516469038208,prior
train,0.5,1.5,415,0.7421686746987952,0.25060240963855424,0.007228915662650603,-0.004819277108433735,23,0.8260869565217391,0.15217391304347827,-0.045877659574468085,-0.13636363636363635,0.04105838246603435,0.2885375494071146,prior
train,0.75,0.5,415,0.40240963855421685,0.5975903614457831,0.0,0.0030120481927710845,23,0.5652173913043478,0.20652173913043478,-0.03956117021276596,-0.08333333333333333,0.042573218405537044,0.2898550724637681,prior
train,0.75,0.75,415,0.5036144578313253,0.4939759036144578,0.0024096385542168677,0.007228915662650603,23,0.782608695652174,0.42391304347826086,-0.036153590425531915,-0.10511363636363637,0.04338250608818252,0.5290266798418972,prior
train,0.75,1.0,415,0.5783132530120482,0.41686746987951806,0.004819277108433735,0.016867469879518072,23,0.8260869565217391,0.44565217391304346,-0.03499002659574468,-0.0946969696969697,0.051857496475262756,0.5403491436100132,prior
train,0.75,1.5,415,0.6457831325301204,0.3421686746987952,0.012048192771084338,-0.02891566265060241,23,0.8260869565217391,0.358695652173913,-0.02967087765957447,-0.14488636363636365,0.0007552150089720593,0.5035820158102766,prior
train,1.0,0.5,415,0.3421686746987952,0.6578313253012048,0.0,0.01325301204819277,23,0.5652173913043478,0.34782608695652173,-0.034242021276595744,-0.054924242424242424,0.047495033324788515,0.40275032938076416,prior
train,1.0,0.75,415,0.4578313253012048,0.5373493975903615,0.004819277108433735,0.054819277108433734,23,0.782608695652174,0.6195652173913043,-0.03158244680851064,-0.07196969696969698,0.08640172391694437,0.6915349143610013,prior
train,1.0,1.0,415,0.5228915662650603,0.46987951807228917,0.007228915662650603,0.05301204819277108,23,0.8260869565217391,0.6521739130434783,-0.031914893617021274,-0.056818181818181816,0.08492694180979235,0.70899209486166,prior
train,1.0,1.5,415,0.5975903614457831,0.3855421686746988,0.016867469879518072,0.01927710843373494,23,0.8260869565217391,0.5652173913043478,-0.0277593085106383,-0.09090909090909091,0.047036416944373244,0.6561264822134387,prior
train,1.5,0.5,415,0.2385542168674699,0.7566265060240964,0.004819277108433735,-0.020481927710843374,23,0.43478260869565216,0.3695652173913043,-0.032247340425531915,-0.041666666666666664,0.01176541271468854,0.411231884057971,prior
train,1.5,0.75,415,0.3349397590361446,0.6409638554216868,0.024096385542168676,0.021686746987951807,23,0.6521739130434783,0.717391304347826,-0.0398936170212766,-0.07386363636363637,0.06158036400922841,0.7912549407114624,prior
train,1.5,1.0,415,0.38313253012048193,0.5831325301204819,0.033734939759036145,-0.008433734939759036,23,0.6956521739130435,0.7391304347826086,-0.040392287234042555,-0.03409090909090909,0.031958552294283515,0.7732213438735177,prior
train,1.5,1.5,415,0.44819277108433736,0.4650602409638554,0.08674698795180723,-0.02530120481927711,23,0.6956521739130435,0.5869565217391305,-0.0398936170212766,-0.07386363636363637,0.014592412201999489,0.6608201581027668,prior
train,0.3,0.5,1644,0.5547445255474452,0.44525547445255476,0.0,-0.05620437956204381,156,0.6089743589743589,-0.01282051282051282,-0.11303191489361702,-0.12424242424242427,0.05682753533157321,0.11142191142191145,dev
train,0.3,0.75,1644,0.6721411192214112,0.3278588807785888,0.0,-0.04425182481751825,156,0.6923076923076923,-0.023076923076923085,-0.1056183510638298,-0.13352272727272727,0.06136652624631155,0.11044580419580419,dev
train,0.3,1.0,1644,0.7372262773722628,0.2621654501216545,0.0006082725060827251,-0.04099756690997569,156,0.782051282051282,0.016666666666666677,-0.08636968085106385,-0.11856060606060607,0.04537211394108816,0.13522727272727275,dev
train,0.3,1.5,1644,0.8041362530413625,0.1940389294403893,0.0018248175182481751,-0.0498175182481752,156,0.8205128205128205,-0.023076923076923085,-0.06392952127659576,-0.15,0.014112003028420562,0.12692307692307692,dev
train,0.5,0.5,1644,0.4878345498783455,0.5121654501216545,0.0,-0.012165450121654502,156,0.5384615384615384,0.038461538461538464,-0.0625,-0.08333333333333333,0.0503345498783455,0.12179487179487179,dev
train,0.5,0.75,1644,0.5967153284671532,0.402676399026764,0.0006082725060827251,-0.0036496350364963502,156,0.6282051282051282,0.035256410256410256,-0.06017287234042553,-0.08901515151515152,0.05652323730392918,0.12427156177156178,dev
train,0.5,1.0,1644,0.6532846715328468,0.34549878345498786,0.0012165450121654502,-0.018856447688564478,156,0.7051282051282052,0.057692307692307696,-0.052526595744680854,-0.08712121212121213,0.03367014805611637,0.1448135198135198,dev
train,0.5,1.5,1644,0.7226277372262774,0.2725060827250608,0.004866180048661801,-0.04744525547445255,156,0.7371794871794872,-0.016025641025641024,-0.045877659574468085,-0.13636363636363635,-0.001567595899984467,0.12033799533799533,dev
train,0.75,0.5,1644,0.4075425790754258,0.5924574209245742,0.0,0.009428223844282239,156,0.4166666666666667,0.02403846153846154,-0.03956117021276596,-0.08333333333333333,0.0489893940570482,0.10737179487179487,dev
train,0.75,0.75,1644,0.5048661800486618,0.49452554744525545,0.0006082725060827251,0.007755474452554745,156,0.5064102564102564,0.014423076923076924,-0.036153590425531915,-0.10511363636363637,0.04390906487808666,0.1195367132867133,dev
train,0.75,1.0,1644,0.5638686131386861,0.43369829683698297,0.0024330900243309003,-0.01079683698296837,156,0.5961538461538461,0.049679487179487176,-0.03499002659574468,-0.0946969696969697,0.024193189612776313,0.14437645687645687,dev
train,0.75,1.5,1644,0.6465936739659367,0.3424574209245742,0.010948905109489052,-0.02874087591240876,156,0.6730769230769231,0.04326923076923077,-0.02967087765957447,-0.14488636363636365,0.000930001747165711,0.18815559440559443,dev
train,1.0,0.5,1644,0.3467153284671533,0.652676399026764,0.0006082725060827251,0.02037712895377129,156,0.36538461538461536,0.05128205128205128,-0.034242021276595744,-0.054924242424242424,0.054619150230367036,0.1062062937062937,dev
train,1.0,0.75,1644,0.44099756690997566,0.5565693430656934,0.0024330900243309003,0.023570559610705595,156,0.4423076923076923,0.03365384615384615,-0.03158244680851064,-0.07196969696969698,0.055153006419216236,0.10562354312354313,dev
train,1.0,1.0,1644,0.49695863746958635,0.49878345498783455,0.004257907542579075,-0.0018248175182481751,156,0.5064102564102564,0.04487179487179487,-0.031914893617021274,-0.056818181818181816,0.030090076098773098,0.10168997668997669,dev
train,1.0,1.5,1644,0.5760340632603407,0.40145985401459855,0.022506082725060828,-0.026155717761557177,156,0.5961538461538461,0.057692307692307696,-0.0277593085106383,-0.09090909090909091,0.001603590749081122,0.1486013986013986,dev
train,1.5,0.5,1644,0.26824817518248173,0.7268856447688564,0.004866180048661801,0.038929440389294405,156,0.28205128205128205,0.07051282051282051,-0.032247340425531915,-0.041666666666666664,0.07117678081482631,0.11217948717948717,dev
train,1.5,0.75,1644,0.35097323600973235,0.6380778588807786,0.010948905109489052,0.047901459854014596,156,0.358974358974359,0.07692307692307693,-0.0398936170212766,-0.07386363636363637,0.0877950768752912,0.15078671328671328,dev
train,1.5,1.0,1644,0.39963503649635035,0.5821167883211679,0.01824817518248175,0.017335766423357664,156,0.40384615384615385,0.05448717948717949,-0.040392287234042555,-0.03409090909090909,0.05772805365740022,0.08857808857808858,dev
train,1.5,1.5,1644,0.46472019464720193,0.4701946472019465,0.06508515815085159,-0.008211678832116789,156,0.4551282051282051,0.038461538461538464,-0.0398936170212766,-0.07386363636363637,0.031681938189159806,0.11232517482517483,dev
train,0.3,0.5,2772,0.5144300144300145,0.4855699855699856,0.0,-0.08845598845598845,270,0.5555555555555556,-0.05555555555555555,-0.11303191489361702,-0.12424242424242427,0.02457592643762857,0.06868686868686871,roll
train,0.3,0.75,2772,0.6417748917748918,0.3582251082251082,0.0,-0.07613636363636365,270,0.674074074074074,-0.04222222222222222,-0.1056183510638298,-0.13352272727272727,0.029481987427466147,0.09130050505050505,roll
train,0.3,1.0,2772,0.7218614718614719,0.27813852813852813,0.0,-0.061580086580086596,270,0.7703703703703704,0.0014814814814814762,-0.08636968085106385,-0.11856060606060607,0.024789594270977253,0.12004208754208755,roll
train,0.3,1.5,2772,0.799062049062049,0.19913419913419914,0.0018037518037518038,-0.058982683982683984,270,0.8333333333333334,0.0,-0.06392952127659576,-0.15,0.004946837293911779,0.15,roll
train,0.5,0.5,2772,0.4527417027417027,0.5472582972582972,0.0,-0.047258297258297256,270,0.5,0.0,-0.0625,-0.08333333333333333,0.015241702741702744,0.08333333333333333,roll
train,0.5,0.75,2772,0.5638528138528138,0.43614718614718617,0.0,-0.04518398268398268,270,0.5962962962962963,-0.004629629629629629,-0.06017287234042553,-0.08901515151515152,0.01498888965644285,0.0843855218855219,roll
train,0.5,1.0,2772,0.6345598845598845,0.36507936507936506,0.00036075036075036075,-0.0477994227994228,270,0.6814814814814815,0.022222222222222223,-0.052526595744680854,-0.08712121212121213,0.004727172945258054,0.10934343434343435,roll
train,0.5,1.5,2772,0.7164502164502164,0.2795815295815296,0.003968253968253968,-0.061147186147186144,270,0.7444444444444445,0.0,-0.045877659574468085,-0.13636363636363635,-0.015269526572718059,0.13636363636363635,roll
train,0.75,0.5,2772,0.37662337662337664,0.6233766233766234,0.0,-0.02922077922077922,270,0.3962962962962963,-0.002777777777777778,-0.03956117021276596,-0.08333333333333333,0.010340390991986737,0.08055555555555555,roll
train,0.75,0.75,2772,0.4787157287157287,0.5205627705627706,0.0007215007215007215,-0.031385281385281384,270,0.48518518518518516,-0.019444444444444445,-0.036153590425531915,-0.10511363636363637,0.00476830904025053,0.08566919191919192,roll
train,0.75,1.0,2772,0.5458152958152959,0.45165945165945165,0.0025252525252525255,-0.0422979797979798,270,0.5740740740740741,0.008333333333333333,-0.03499002659574468,-0.0946969696969697,-0.0073079532022351165,0.10303030303030303,roll
train,0.75,1.5,2772,0.6367243867243867,0.3531746031746032,0.010101010101010102,-0.05221861471861472,270,0.6555555555555556,0.002777777777777778,-0.02967087765957447,-0.14488636363636365,-0.02254773705904025,0.14766414141414141,roll
train,1.0,0.5,2772,0.3203463203463203,0.6792929292929293,0.00036075036075036075,-0.0193001443001443,270,0.362962962962963,0.046296296296296294,-0.034242021276595744,-0.054924242424242424,0.014941876976451444,0.10122053872053871,roll
train,1.0,0.75,2772,0.4163059163059163,0.5818903318903319,0.0018037518037518038,-0.020111832611832612,270,0.43333333333333335,0.011111111111111112,-0.03158244680851064,-0.07196969696969698,0.011470614196678029,0.08308080808080809,roll
train,1.0,1.0,2772,0.4790764790764791,0.5165945165945166,0.004329004329004329,-0.03751803751803752,270,0.5148148148148148,0.044444444444444446,-0.031914893617021274,-0.056818181818181816,-0.005603143901016246,0.10126262626262626,roll
train,1.0,1.5,2772,0.5678210678210678,0.41089466089466087,0.021284271284271284,-0.04852092352092352,270,0.6074074074074074,0.06851851851851852,-0.0277593085106383,-0.09090909090909091,-0.02076161501028522,0.15942760942760942,roll
train,1.5,0.5,2772,0.23593073593073594,0.7597402597402597,0.004329004329004329,-0.025974025974025976,270,0.2814814814814815,0.07222222222222222,-0.032247340425531915,-0.041666666666666664,0.006273314451505939,0.11388888888888887,roll
train,1.5,0.75,2772,0.31782106782106784,0.6677489177489178,0.01443001443001443,-0.02408008658008658,270,0.337037037037037,0.025,-0.0398936170212766,-0.07386363636363637,0.015813530441190018,0.09886363636363638,roll
train,1.5,1.0,2772,0.37157287157287155,0.6042568542568543,0.024170274170274172,-0.046897546897546896,270,0.3962962962962963,0.03148148148148148,-0.040392287234042555,-0.03409090909090909,-0.006505259663504341,0.06557239057239056,roll
train,1.5,1.5,2772,0.44155844155844154,0.48773448773448774,0.0707070707070707,-0.06926406926406926,270,0.4740740740740741,0.06111111111111111,-0.0398936170212766,-0.07386363636363637,-0.029370452242792666,0.13497474747474747,roll
