window,level,vol_filter,split,target_mult,stop_mult,n,hit,stop_rate,exp_atr
10_00_10_30,vah,V0,train,0.3,0.5,183,0.46994535519125685,0.5300546448087432,-0.12404371584699453
10_00_10_30,vah,V0,oos,0.3,0.5,14,0.5714285714285714,0.42857142857142855,-0.042857142857142864
10_00_10_30,vah,V0,train,0.3,0.75,183,0.6174863387978142,0.3825136612021858,-0.1016393442622951
10_00_10_30,vah,V0,oos,0.3,0.75,14,0.5714285714285714,0.42857142857142855,-0.15
10_00_10_30,vah,V0,train,0.3,1.0,183,0.7049180327868853,0.29508196721311475,-0.08360655737704921
10_00_10_30,vah,V0,oos,0.3,1.0,14,0.7142857142857143,0.2857142857142857,-0.07142857142857142
10_00_10_30,vah,V0,train,0.3,1.5,183,0.7704918032786885,0.22950819672131148,-0.11311475409836066
10_00_10_30,vah,V0,oos,0.3,1.5,14,0.7857142857142857,0.21428571428571427,-0.08571428571428573
10_00_10_30,vah,V0,train,0.5,0.5,183,0.41530054644808745,0.5846994535519126,-0.08469945355191257
10_00_10_30,vah,V0,oos,0.5,0.5,14,0.5714285714285714,0.42857142857142855,0.07142857142857142
10_00_10_30,vah,V0,train,0.5,0.75,183,0.5573770491803278,0.4426229508196721,-0.05327868852459016
10_00_10_30,vah,V0,oos,0.5,0.75,14,0.5714285714285714,0.42857142857142855,-0.03571428571428571
10_00_10_30,vah,V0,train,0.5,1.0,183,0.6338797814207651,0.36065573770491804,-0.04371584699453552
10_00_10_30,vah,V0,oos,0.5,1.0,14,0.6428571428571429,0.35714285714285715,-0.03571428571428571
10_00_10_30,vah,V0,train,0.5,1.5,183,0.6830601092896175,0.3114754098360656,-0.12568306010928962
10_00_10_30,vah,V0,oos,0.5,1.5,14,0.7142857142857143,0.2857142857142857,-0.07142857142857142
10_00_10_30,vah,V0,train,0.75,0.5,183,0.3442622950819672,0.6557377049180327,-0.06967213114754098
10_00_10_30,vah,V0,oos,0.75,0.5,14,0.5,0.5,0.125
10_00_10_30,vah,V0,train,0.75,0.75,183,0.4918032786885246,0.5081967213114754,-0.012295081967213115
10_00_10_30,vah,V0,oos,0.75,0.75,14,0.5,0.5,0.0
10_00_10_30,vah,V0,train,0.75,1.0,183,0.5573770491803278,0.43169398907103823,-0.01366120218579235
10_00_10_30,vah,V0,oos,0.75,1.0,14,0.5,0.5,-0.125
10_00_10_30,vah,V0,train,0.75,1.5,183,0.6065573770491803,0.3770491803278688,-0.11065573770491803
10_00_10_30,vah,V0,oos,0.75,1.5,14,0.6428571428571429,0.35714285714285715,-0.05357142857142857
10_00_10_30,vah,V0,train,1.0,0.5,183,0.30601092896174864,0.6939890710382514,-0.040983606557377046
10_00_10_30,vah,V0,oos,1.0,0.5,14,0.5,0.5,0.25
10_00_10_30,vah,V0,train,1.0,0.75,183,0.43169398907103823,0.5683060109289617,0.00546448087431694
10_00_10_30,vah,V0,oos,1.0,0.75,14,0.5,0.5,0.125
10_00_10_30,vah,V0,train,1.0,1.0,183,0.5081967213114754,0.4808743169398907,0.0273224043715847
10_00_10_30,vah,V0,oos,1.0,1.0,14,0.5,0.5,0.0
10_00_10_30,vah,V0,train,1.0,1.5,183,0.5519125683060109,0.43169398907103823,-0.09562841530054644
10_00_10_30,vah,V0,oos,1.0,1.5,14,0.6428571428571429,0.35714285714285715,0.10714285714285714
10_00_10_30,vah,V0,train,1.5,0.5,183,0.2459016393442623,0.7540983606557377,-0.00819672131147541
10_00_10_30,vah,V0,oos,1.5,0.5,14,0.35714285714285715,0.6428571428571429,0.21428571428571427
10_00_10_30,vah,V0,train,1.5,0.75,183,0.33879781420765026,0.639344262295082,0.028688524590163935
10_00_10_30,vah,V0,oos,1.5,0.75,14,0.35714285714285715,0.6428571428571429,0.05357142857142857
10_00_10_30,vah,V0,train,1.5,1.0,183,0.3989071038251366,0.5628415300546448,0.03551912568306011
10_00_10_30,vah,V0,oos,1.5,1.0,14,0.35714285714285715,0.6428571428571429,-0.10714285714285714
10_00_10_30,vah,V0,train,1.5,1.5,183,0.44808743169398907,0.5027322404371585,-0.08196721311475409
10_00_10_30,vah,V0,oos,1.5,1.5,14,0.5,0.5,0.0
10_00_10_30,vah,V1,train,0.3,0.5,69,0.463768115942029,0.5362318840579711,-0.1289855072463768
10_00_10_30,vah,V1,oos,0.3,0.5,3,0.6666666666666666,0.3333333333333333,0.033333333333333326
10_00_10_30,vah,V1,train,0.3,0.75,69,0.5942028985507246,0.4057971014492754,-0.12608695652173915
10_00_10_30,vah,V1,oos,0.3,0.75,3,0.6666666666666666,0.3333333333333333,-0.05000000000000001
10_00_10_30,vah,V1,train,0.3,1.0,69,0.6666666666666666,0.3333333333333333,-0.13333333333333336
10_00_10_30,vah,V1,oos,0.3,1.0,3,1.0,0.0,0.3
10_00_10_30,vah,V1,train,0.3,1.5,69,0.7536231884057971,0.2463768115942029,-0.14347826086956522
10_00_10_30,vah,V1,oos,0.3,1.5,3,1.0,0.0,0.3
10_00_10_30,vah,V1,train,0.5,0.5,69,0.43478260869565216,0.5652173913043478,-0.06521739130434782
10_00_10_30,vah,V1,oos,0.5,0.5,3,0.6666666666666666,0.3333333333333333,0.16666666666666666
10_00_10_30,vah,V1,train,0.5,0.75,69,0.5507246376811594,0.4492753623188406,-0.06159420289855073
10_00_10_30,vah,V1,oos,0.5,0.75,3,0.6666666666666666,0.3333333333333333,0.08333333333333333
10_00_10_30,vah,V1,train,0.5,1.0,69,0.6086956521739131,0.391304347826087,-0.08695652173913043
10_00_10_30,vah,V1,oos,0.5,1.0,3,1.0,0.0,0.5
10_00_10_30,vah,V1,train,0.5,1.5,69,0.7101449275362319,0.2898550724637681,-0.07971014492753623
10_00_10_30,vah,V1,oos,0.5,1.5,3,1.0,0.0,0.5
10_00_10_30,vah,V1,train,0.75,0.5,69,0.37681159420289856,0.6231884057971014,-0.028985507246376812
10_00_10_30,vah,V1,oos,0.75,0.5,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
10_00_10_30,vah,V1,train,0.75,0.75,69,0.5072463768115942,0.4927536231884058,0.010869565217391304
10_00_10_30,vah,V1,oos,0.75,0.75,3,0.6666666666666666,0.3333333333333333,0.25
10_00_10_30,vah,V1,train,0.75,1.0,69,0.5362318840579711,0.463768115942029,-0.06159420289855073
10_00_10_30,vah,V1,oos,0.75,1.0,3,0.6666666666666666,0.3333333333333333,0.16666666666666666
10_00_10_30,vah,V1,train,0.75,1.5,69,0.6231884057971014,0.36231884057971014,-0.07608695652173914
10_00_10_30,vah,V1,oos,0.75,1.5,3,0.6666666666666666,0.3333333333333333,0.0
10_00_10_30,vah,V1,train,1.0,0.5,69,0.3188405797101449,0.6811594202898551,-0.021739130434782608
10_00_10_30,vah,V1,oos,1.0,0.5,3,0.6666666666666666,0.3333333333333333,0.5
10_00_10_30,vah,V1,train,1.0,0.75,69,0.42028985507246375,0.5797101449275363,-0.014492753623188406
10_00_10_30,vah,V1,oos,1.0,0.75,3,0.6666666666666666,0.3333333333333333,0.4166666666666667
10_00_10_30,vah,V1,train,1.0,1.0,69,0.4782608695652174,0.5217391304347826,-0.043478260869565216
10_00_10_30,vah,V1,oos,1.0,1.0,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
10_00_10_30,vah,V1,train,1.0,1.5,69,0.5507246376811594,0.43478260869565216,-0.10144927536231885
10_00_10_30,vah,V1,oos,1.0,1.5,3,0.6666666666666666,0.3333333333333333,0.16666666666666666
10_00_10_30,vah,V1,train,1.5,0.5,69,0.2463768115942029,0.7536231884057971,-0.007246376811594203
10_00_10_30,vah,V1,oos,1.5,0.5,3,0.6666666666666666,0.3333333333333333,0.8333333333333334
10_00_10_30,vah,V1,train,1.5,0.75,69,0.34782608695652173,0.6521739130434783,0.03260869565217391
10_00_10_30,vah,V1,oos,1.5,0.75,3,0.6666666666666666,0.3333333333333333,0.75
10_00_10_30,vah,V1,train,1.5,1.0,69,0.37681159420289856,0.6231884057971014,-0.057971014492753624
10_00_10_30,vah,V1,oos,1.5,1.0,3,0.6666666666666666,0.3333333333333333,0.6666666666666666
10_00_10_30,vah,V1,train,1.5,1.5,69,0.4492753623188406,0.5217391304347826,-0.10869565217391304
10_00_10_30,vah,V1,oos,1.5,1.5,3,0.6666666666666666,0.3333333333333333,0.5
10_00_10_30,vah,V2,train,0.3,0.5,55,0.4727272727272727,0.5272727272727272,-0.12181818181818183
10_00_10_30,vah,V2,oos,0.3,0.5,3,0.0,1.0,-0.5
10_00_10_30,vah,V2,train,0.3,0.75,55,0.6,0.4,-0.12
10_00_10_30,vah,V2,oos,0.3,0.75,3,0.0,1.0,-0.75
10_00_10_30,vah,V2,train,0.3,1.0,55,0.6909090909090909,0.3090909090909091,-0.10181818181818181
10_00_10_30,vah,V2,oos,0.3,1.0,3,0.3333333333333333,0.6666666666666666,-0.5666666666666667
10_00_10_30,vah,V2,train,0.3,1.5,55,0.7818181818181819,0.21818181818181817,-0.09272727272727273
10_00_10_30,vah,V2,oos,0.3,1.5,3,0.6666666666666666,0.3333333333333333,-0.3
10_00_10_30,vah,V2,train,0.5,0.5,55,0.4,0.6,-0.1
10_00_10_30,vah,V2,oos,0.5,0.5,3,0.0,1.0,-0.5
10_00_10_30,vah,V2,train,0.5,0.75,55,0.509090909090909,0.4909090909090909,-0.11363636363636363
10_00_10_30,vah,V2,oos,0.5,0.75,3,0.0,1.0,-0.75
10_00_10_30,vah,V2,train,0.5,1.0,55,0.6181818181818182,0.38181818181818183,-0.07272727272727272
10_00_10_30,vah,V2,oos,0.5,1.0,3,0.0,1.0,-1.0
10_00_10_30,vah,V2,train,0.5,1.5,55,0.7090909090909091,0.2909090909090909,-0.08181818181818182
10_00_10_30,vah,V2,oos,0.5,1.5,3,0.3333333333333333,0.6666666666666666,-0.8333333333333334
10_00_10_30,vah,V2,train,0.75,0.5,55,0.3090909090909091,0.6909090909090909,-0.11363636363636363
10_00_10_30,vah,V2,oos,0.75,0.5,3,0.0,1.0,-0.5
10_00_10_30,vah,V2,train,0.75,0.75,55,0.43636363636363634,0.5636363636363636,-0.09545454545454546
10_00_10_30,vah,V2,oos,0.75,0.75,3,0.0,1.0,-0.75
10_00_10_30,vah,V2,train,0.75,1.0,55,0.5272727272727272,0.4727272727272727,-0.07727272727272727
10_00_10_30,vah,V2,oos,0.75,1.0,3,0.0,1.0,-1.0
10_00_10_30,vah,V2,train,0.75,1.5,55,0.6,0.38181818181818183,-0.12272727272727273
10_00_10_30,vah,V2,oos,0.75,1.5,3,0.3333333333333333,0.6666666666666666,-0.75
10_00_10_30,vah,V2,train,1.0,0.5,55,0.21818181818181817,0.7818181818181819,-0.17272727272727273
10_00_10_30,vah,V2,oos,1.0,0.5,3,0.0,1.0,-0.5
10_00_10_30,vah,V2,train,1.0,0.75,55,0.34545454545454546,0.6545454545454545,-0.14545454545454545
10_00_10_30,vah,V2,oos,1.0,0.75,3,0.0,1.0,-0.75
10_00_10_30,vah,V2,train,1.0,1.0,55,0.43636363636363634,0.5636363636363636,-0.12727272727272726
10_00_10_30,vah,V2,oos,1.0,1.0,3,0.0,1.0,-1.0
10_00_10_30,vah,V2,train,1.0,1.5,55,0.509090909090909,0.4727272727272727,-0.2
10_00_10_30,vah,V2,oos,1.0,1.5,3,0.3333333333333333,0.6666666666666666,-0.6666666666666666
10_00_10_30,vah,V2,train,1.5,0.5,55,0.2,0.8,-0.1
10_00_10_30,vah,V2,oos,1.5,0.5,3,0.0,1.0,-0.5
10_00_10_30,vah,V2,train,1.5,0.75,55,0.2545454545454545,0.7272727272727273,-0.16363636363636364
10_00_10_30,vah,V2,oos,1.5,0.75,3,0.0,1.0,-0.75
10_00_10_30,vah,V2,train,1.5,1.0,55,0.32727272727272727,0.6545454545454545,-0.16363636363636364
10_00_10_30,vah,V2,oos,1.5,1.0,3,0.0,1.0,-1.0
10_00_10_30,vah,V2,train,1.5,1.5,55,0.41818181818181815,0.5272727272727272,-0.16363636363636364
10_00_10_30,vah,V2,oos,1.5,1.5,3,0.3333333333333333,0.6666666666666666,-0.5
10_00_10_30,vah,V3,train,0.3,0.5,21,0.42857142857142855,0.5714285714285714,-0.15714285714285717
10_00_10_30,vah,V3,train,0.3,0.75,21,0.5714285714285714,0.42857142857142855,-0.15000000000000002
10_00_10_30,vah,V3,train,0.3,1.0,21,0.6666666666666666,0.3333333333333333,-0.13333333333333333
10_00_10_30,vah,V3,train,0.3,1.5,21,0.7619047619047619,0.23809523809523808,-0.1285714285714286
10_00_10_30,vah,V3,train,0.5,0.5,21,0.38095238095238093,0.6190476190476191,-0.11904761904761904
10_00_10_30,vah,V3,train,0.5,0.75,21,0.47619047619047616,0.5238095238095238,-0.15476190476190477
10_00_10_30,vah,V3,train,0.5,1.0,21,0.5714285714285714,0.42857142857142855,-0.14285714285714285
10_00_10_30,vah,V3,train,0.5,1.5,21,0.7619047619047619,0.23809523809523808,0.023809523809523808
10_00_10_30,vah,V3,train,0.75,0.5,21,0.3333333333333333,0.6666666666666666,-0.08333333333333333
10_00_10_30,vah,V3,train,0.75,0.75,21,0.42857142857142855,0.5714285714285714,-0.10714285714285714
10_00_10_30,vah,V3,train,0.75,1.0,21,0.47619047619047616,0.5238095238095238,-0.16666666666666666
10_00_10_30,vah,V3,train,0.75,1.5,21,0.6190476190476191,0.3333333333333333,-0.03571428571428571
10_00_10_30,vah,V3,train,1.0,0.5,21,0.19047619047619047,0.8095238095238095,-0.21428571428571427
10_00_10_30,vah,V3,train,1.0,0.75,21,0.3333333333333333,0.6666666666666666,-0.16666666666666666
10_00_10_30,vah,V3,train,1.0,1.0,21,0.38095238095238093,0.6190476190476191,-0.23809523809523808
10_00_10_30,vah,V3,train,1.0,1.5,21,0.5238095238095238,0.42857142857142855,-0.11904761904761904
10_00_10_30,vah,V3,train,1.5,0.5,21,0.14285714285714285,0.8571428571428571,-0.21428571428571427
10_00_10_30,vah,V3,train,1.5,0.75,21,0.23809523809523808,0.7619047619047619,-0.21428571428571427
10_00_10_30,vah,V3,train,1.5,1.0,21,0.23809523809523808,0.7619047619047619,-0.40476190476190477
10_00_10_30,vah,V3,train,1.5,1.5,21,0.38095238095238093,0.5238095238095238,-0.21428571428571427
10_00_10_30,poc,V0,train,0.3,0.5,181,0.49171270718232046,0.5082872928176796,-0.10662983425414366
10_00_10_30,poc,V0,oos,0.3,0.5,12,0.5833333333333334,0.4166666666666667,-0.033333333333333326
10_00_10_30,poc,V0,train,0.3,0.75,181,0.6519337016574586,0.34806629834254144,-0.06546961325966852
10_00_10_30,poc,V0,oos,0.3,0.75,12,0.75,0.25,0.03749999999999998
10_00_10_30,poc,V0,train,0.3,1.0,181,0.7403314917127072,0.2596685082872928,-0.037569060773480684
10_00_10_30,poc,V0,oos,0.3,1.0,12,0.9166666666666666,0.08333333333333333,0.19166666666666665
10_00_10_30,poc,V0,train,0.3,1.5,181,0.8287292817679558,0.1712707182320442,-0.008287292817679558
10_00_10_30,poc,V0,oos,0.3,1.5,12,1.0,0.0,0.3
10_00_10_30,poc,V0,train,0.5,0.5,181,0.4198895027624309,0.580110497237569,-0.08011049723756906
10_00_10_30,poc,V0,oos,0.5,0.5,12,0.5833333333333334,0.4166666666666667,0.08333333333333333
10_00_10_30,poc,V0,train,0.5,0.75,181,0.569060773480663,0.430939226519337,-0.03867403314917127
10_00_10_30,poc,V0,oos,0.5,0.75,12,0.75,0.25,0.1875
10_00_10_30,poc,V0,train,0.5,1.0,181,0.6629834254143646,0.3370165745856354,-0.0055248618784530384
10_00_10_30,poc,V0,oos,0.5,1.0,12,0.9166666666666666,0.08333333333333333,0.375
10_00_10_30,poc,V0,train,0.5,1.5,181,0.7403314917127072,0.2541436464088398,-0.011049723756906077
10_00_10_30,poc,V0,oos,0.5,1.5,12,0.9166666666666666,0.08333333333333333,0.3333333333333333
10_00_10_30,poc,V0,train,0.75,0.5,181,0.3812154696132597,0.6187845303867403,-0.023480662983425413
10_00_10_30,poc,V0,oos,0.75,0.5,12,0.5,0.5,0.125
10_00_10_30,poc,V0,train,0.75,0.75,181,0.5193370165745856,0.48066298342541436,0.029005524861878452
10_00_10_30,poc,V0,oos,0.75,0.75,12,0.6666666666666666,0.3333333333333333,0.25
10_00_10_30,poc,V0,train,0.75,1.0,181,0.6022099447513812,0.39779005524861877,0.05386740331491713
10_00_10_30,poc,V0,oos,0.75,1.0,12,0.75,0.25,0.3125
10_00_10_30,poc,V0,train,0.75,1.5,181,0.6850828729281768,0.30939226519337015,0.049723756906077346
10_00_10_30,poc,V0,oos,0.75,1.5,12,0.75,0.25,0.1875
10_00_10_30,poc,V0,train,1.0,0.5,181,0.287292817679558,0.712707182320442,-0.06906077348066299
10_00_10_30,poc,V0,oos,1.0,0.5,12,0.5,0.5,0.25
10_00_10_30,poc,V0,train,1.0,0.75,181,0.4198895027624309,0.580110497237569,-0.015193370165745856
10_00_10_30,poc,V0,oos,1.0,0.75,12,0.6666666666666666,0.3333333333333333,0.4166666666666667
10_00_10_30,poc,V0,train,1.0,1.0,181,0.5027624309392266,0.4861878453038674,0.016574585635359115
10_00_10_30,poc,V0,oos,1.0,1.0,12,0.75,0.25,0.5
10_00_10_30,poc,V0,train,1.0,1.5,181,0.580110497237569,0.3812154696132597,0.008287292817679558
10_00_10_30,poc,V0,oos,1.0,1.5,12,0.75,0.25,0.375
10_00_10_30,poc,V0,train,1.5,0.5,181,0.2154696132596685,0.7790055248618785,-0.06629834254143646
10_00_10_30,poc,V0,oos,1.5,0.5,12,0.5,0.5,0.5
10_00_10_30,poc,V0,train,1.5,0.75,181,0.32044198895027626,0.6629834254143646,-0.016574585635359115
10_00_10_30,poc,V0,oos,1.5,0.75,12,0.5833333333333334,0.4166666666666667,0.5625
10_00_10_30,poc,V0,train,1.5,1.0,181,0.39226519337016574,0.580110497237569,0.008287292817679558
10_00_10_30,poc,V0,oos,1.5,1.0,12,0.6666666666666666,0.3333333333333333,0.6666666666666666
10_00_10_30,poc,V0,train,1.5,1.5,181,0.44751381215469616,0.4419889502762431,0.008287292817679558
10_00_10_30,poc,V0,oos,1.5,1.5,12,0.6666666666666666,0.25,0.625
10_00_10_30,poc,V1,train,0.3,0.5,61,0.36065573770491804,0.639344262295082,-0.21147540983606558
10_00_10_30,poc,V1,oos,0.3,0.5,5,0.6,0.4,-0.020000000000000018
10_00_10_30,poc,V1,train,0.3,0.75,61,0.5573770491803278,0.4426229508196721,-0.16475409836065574
10_00_10_30,poc,V1,oos,0.3,0.75,5,0.6,0.4,-0.12000000000000002
10_00_10_30,poc,V1,train,0.3,1.0,61,0.6721311475409836,0.32786885245901637,-0.12622950819672132
10_00_10_30,poc,V1,oos,0.3,1.0,5,0.8,0.2,0.039999999999999994
10_00_10_30,poc,V1,train,0.3,1.5,61,0.819672131147541,0.18032786885245902,-0.02459016393442623
10_00_10_30,poc,V1,oos,0.3,1.5,5,1.0,0.0,0.3
10_00_10_30,poc,V1,train,0.5,0.5,61,0.36065573770491804,0.639344262295082,-0.13934426229508196
10_00_10_30,poc,V1,oos,0.5,0.5,5,0.6,0.4,0.1
10_00_10_30,poc,V1,train,0.5,0.75,61,0.5245901639344263,0.47540983606557374,-0.0942622950819672
10_00_10_30,poc,V1,oos,0.5,0.75,5,0.6,0.4,0.0
10_00_10_30,poc,V1,train,0.5,1.0,61,0.639344262295082,0.36065573770491804,-0.040983606557377046
10_00_10_30,poc,V1,oos,0.5,1.0,5,0.8,0.2,0.2
10_00_10_30,poc,V1,train,0.5,1.5,61,0.7704918032786885,0.22950819672131148,0.040983606557377046
10_00_10_30,poc,V1,oos,0.5,1.5,5,0.8,0.2,0.1
10_00_10_30,poc,V1,train,0.75,0.5,61,0.32786885245901637,0.6721311475409836,-0.09016393442622951
10_00_10_30,poc,V1,oos,0.75,0.5,5,0.6,0.4,0.25
10_00_10_30,poc,V1,train,0.75,0.75,61,0.45901639344262296,0.5409836065573771,-0.06147540983606557
10_00_10_30,poc,V1,oos,0.75,0.75,5,0.6,0.4,0.15
10_00_10_30,poc,V1,train,0.75,1.0,61,0.5409836065573771,0.45901639344262296,-0.05327868852459016
10_00_10_30,poc,V1,oos,0.75,1.0,5,0.6,0.4,0.05
10_00_10_30,poc,V1,train,0.75,1.5,61,0.6885245901639344,0.3114754098360656,0.04918032786885246
10_00_10_30,poc,V1,oos,0.75,1.5,5,0.6,0.4,-0.15
10_00_10_30,poc,V1,train,1.0,0.5,61,0.2786885245901639,0.7213114754098361,-0.08196721311475409
10_00_10_30,poc,V1,oos,1.0,0.5,5,0.6,0.4,0.4
10_00_10_30,poc,V1,train,1.0,0.75,61,0.36065573770491804,0.639344262295082,-0.11885245901639344
10_00_10_30,poc,V1,oos,1.0,0.75,5,0.6,0.4,0.3
10_00_10_30,poc,V1,train,1.0,1.0,61,0.4426229508196721,0.5573770491803278,-0.11475409836065574
10_00_10_30,poc,V1,oos,1.0,1.0,5,0.6,0.4,0.2
10_00_10_30,poc,V1,train,1.0,1.5,61,0.5901639344262295,0.3770491803278688,0.02459016393442623
10_00_10_30,poc,V1,oos,1.0,1.5,5,0.6,0.4,0.0
10_00_10_30,poc,V1,train,1.5,0.5,61,0.18032786885245902,0.819672131147541,-0.13934426229508196
10_00_10_30,poc,V1,oos,1.5,0.5,5,0.6,0.4,0.7
10_00_10_30,poc,V1,train,1.5,0.75,61,0.26229508196721313,0.7377049180327869,-0.1598360655737705
10_00_10_30,poc,V1,oos,1.5,0.75,5,0.6,0.4,0.6
10_00_10_30,poc,V1,train,1.5,1.0,61,0.3442622950819672,0.6557377049180327,-0.13934426229508196
10_00_10_30,poc,V1,oos,1.5,1.0,5,0.6,0.4,0.5
10_00_10_30,poc,V1,train,1.5,1.5,61,0.45901639344262296,0.4426229508196721,0.02459016393442623
10_00_10_30,poc,V1,oos,1.5,1.5,5,0.6,0.4,0.3
10_00_10_30,poc,V2,train,0.3,0.5,55,0.4727272727272727,0.5272727272727272,-0.12181818181818183
10_00_10_30,poc,V2,oos,0.3,0.5,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.3,0.75,55,0.6181818181818182,0.38181818181818183,-0.10090909090909092
10_00_10_30,poc,V2,oos,0.3,0.75,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.3,1.0,55,0.7090909090909091,0.2909090909090909,-0.0781818181818182
10_00_10_30,poc,V2,oos,0.3,1.0,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.3,1.5,55,0.7818181818181819,0.21818181818181817,-0.09272727272727273
10_00_10_30,poc,V2,oos,0.3,1.5,2,1.0,0.0,0.3
10_00_10_30,poc,V2,train,0.5,0.5,55,0.45454545454545453,0.5454545454545454,-0.045454545454545456
10_00_10_30,poc,V2,oos,0.5,0.5,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.5,0.75,55,0.5636363636363636,0.43636363636363634,-0.045454545454545456
10_00_10_30,poc,V2,oos,0.5,0.75,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.5,1.0,55,0.6727272727272727,0.32727272727272727,0.00909090909090909
10_00_10_30,poc,V2,oos,0.5,1.0,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.5,1.5,55,0.7454545454545455,0.2545454545454545,-0.00909090909090909
10_00_10_30,poc,V2,oos,0.5,1.5,2,1.0,0.0,0.5
10_00_10_30,poc,V2,train,0.75,0.5,55,0.4,0.6,0.0
10_00_10_30,poc,V2,oos,0.75,0.5,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,0.75,0.75,55,0.4909090909090909,0.509090909090909,-0.013636363636363636
10_00_10_30,poc,V2,oos,0.75,0.75,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,0.75,1.0,55,0.5818181818181818,0.41818181818181815,0.01818181818181818
10_00_10_30,poc,V2,oos,0.75,1.0,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,0.75,1.5,55,0.6727272727272727,0.32727272727272727,0.013636363636363636
10_00_10_30,poc,V2,oos,0.75,1.5,2,1.0,0.0,0.75
10_00_10_30,poc,V2,train,1.0,0.5,55,0.3090909090909091,0.6909090909090909,-0.03636363636363636
10_00_10_30,poc,V2,oos,1.0,0.5,2,1.0,0.0,1.0
10_00_10_30,poc,V2,train,1.0,0.75,55,0.38181818181818183,0.6181818181818182,-0.08181818181818182
10_00_10_30,poc,V2,oos,1.0,0.75,2,1.0,0.0,1.0
